,intensive_care,hospitalised,tot_positives,delta_tot_positives,new_positives,deceased,delta_icus,delta_deceased
2021-04-05,3737,32522,570096,1061,10680,111326,34.0,296.0
2021-04-06,3743,33080,555705,-14391,7767,111747,6.0,421.0
2021-04-07,3683,32999,547837,-7868,13708,112374,-60.0,627.0
2021-04-08,3663,32514,544330,-3507,17221,112861,-20.0,487.0
2021-04-09,3603,31749,536361,-7969,18938,113579,-60.0,718.0
2021-04-10,3588,31242,533085,-3276,17567,113923,-15.0,344.0
2021-04-11,3585,30836,533005,-80,15746,114254,-3.0,331.0
2021-04-12,3593,30922,524417,-8588,9789,114612,8.0,358.0
2021-04-13,3526,30478,519220,-5197,13447,115088,-67.0,476.0
2021-04-14,3490,29859,514660,-4560,16168,115557,-36.0,469.0
2021-04-15,3417,29004,510023,-4637,16974,115937,-73.0,380.0
2021-04-16,3366,28109,506738,-3285,15943,116366,-51.0,429.0
2021-04-17,3340,27440,505308,-1430,15370,116676,-26.0,310.0
2021-04-18,3311,26959,504611,-697,12694,116927,-29.0,251.0
2021-04-19,3244,26986,493489,-11122,8864,117243,-67.0,316.0
2021-04-20,3151,26406,482715,-10774,12074,117633,-93.0,390.0
2021-04-21,3076,25860,475635,-7080,13844,117997,-75.0,364.0
2021-04-22,3021,25115,472196,-3439,16050,118357,-55.0,360.0
2021-04-23,2979,24419,465543,-6653,14761,118699,-42.0,342.0
2021-04-24,2894,23865,461448,-4095,13817,119021,-85.0,322.0
2021-04-25,2862,23524,461212,-236,13158,119238,-32.0,217.0
2021-04-26,2849,23484,452812,-8400,8444,119539,-13.0,301.0
2021-04-27,2748,23060,448149,-4663,10404,119912,-101.0,373.0
2021-04-28,2711,22571,442771,-5378,13385,120256,-37.0,344.0
2021-04-29,2640,21991,438709,-4062,14320,120544,-71.0,288.0
2021-04-30,2583,21523,436270,-2439,13446,120807,-57.0,263.0
2021-05-01,2522,20903,430542,-5728,12965,121033,-61.0,226.0
2021-05-02,2524,20869,430906,364,9148,121177,2.0,144.0
2021-05-03,2490,20885,423558,-7348,5948,121433,-34.0,256.0
2021-05-04,2423,20599,413889,-9669,9116,121738,-67.0,305.0
2021-05-05,2368,19888,407129,-6760,10585,122005,-55.0,267.0
2021-05-06,2308,19175,402802,-4327,11807,122263,-60.0,258.0
2021-05-07,2253,18584,397564,-5238,10554,122470,-55.0,207.0
2021-05-08,2211,18010,390120,-7444,10176,122694,-42.0,224.0
2021-05-09,2192,17612,383854,-6266,8292,122833,-19.0,139.0
2021-05-10,2158,17585,373670,-10184,5080,123031,-34.0,198.0
2021-05-11,2056,16993,363859,-9811,6946,123282,-102.0,251.0
2021-05-12,1992,16272,352422,-11437,7852,123544,-64.0,262.0
2021-05-13,1893,15501,346008,-6414,8085,123745,-99.0,201.0
2021-05-14,1860,14910,339606,-6402,7567,123927,-33.0,182.0
2021-05-15,1805,14298,332830,-6776,6659,124063,-55.0,136.0
2021-05-16,1779,13913,328882,-3948,5753,124156,-26.0,93.0
2021-05-17,1754,13778,322891,-5991,3455,124296,-25.0,140.0
2021-05-18,1689,13228,315308,-7583,4452,124497,-65.0,201.0
2021-05-19,1643,12661,306730,-8578,5506,124646,-46.0,149.0
2021-05-20,1544,11927,299486,-7244,5741,124810,-99.0,164.0
2021-05-21,1469,11394,291788,-7698,5218,125028,-75.0,218.0
2021-05-22,1430,10918,283744,-8044,4717,125153,-39.0,125.0
2021-05-23,1410,10571,281092,-2652,3995,125225,-20.0,72.0
2021-05-24,1382,10332,276439,-4653,2490,125335,-28.0,110.0
2021-05-25,1323,9880,268145,-8294,3224,125501,-59.0,166.0
2021-05-26,1278,9396,260029,-8116,3937,125622,-45.0,121.0
2021-05-27,1206,8913,253193,-6836,4147,125793,-72.0,171.0
2021-05-28,1142,8334,246270,-6923,3738,125919,-64.0,126.0
2021-05-29,1095,7895,241966,-4304,3351,126002,-47.0,83.0
2021-05-30,1061,7652,238296,-3670,2949,126046,-34.0,44.0
2021-05-31,1033,7515,233674,-4622,1820,126128,-28.0,82.0
2021-06-01,989,7181,225751,-7923,2483,126221,-44.0,93.0
2021-06-02,933,6791,210050,-15701,2897,126283,-56.0,62.0
2021-06-03,892,6609,205562,-4488,1968,126342,-41.0,59.0
2021-06-04,836,6324,200192,-5370,2557,126415,-56.0,73.0
2021-06-05,788,5981,195369,-4823,2436,126472,-48.0,57.0
2021-06-06,774,5737,192272,-3097,2275,126523,-14.0,51.0
2021-06-07,759,5669,188453,-3819,1273,126588,-15.0,65.0
2021-06-08,688,5373,181726,-6727,1896,126690,-71.0,102.0
2021-06-09,661,5043,174935,-6791,2199,126767,-27.0,77.0
2021-06-10,626,4779,169309,-5626,2079,126855,-35.0,88.0
2021-06-11,597,4473,165239,-4070,1901,126924,-29.0,69.0
2021-06-12,574,4229,162409,-2830,1723,126976,-23.0,52.0
2021-06-13,565,4107,160313,-2096,1390,127002,-9.0,26.0
2021-06-14,536,4001,157790,-2523,907,127038,-29.0,36.0
2021-06-15,504,3837,105906,-51884,1255,127101,-32.0,63.0
2021-06-16,471,3535,101855,-4051,1400,127153,-33.0,52.0
2021-06-17,444,3332,98608,-3247,1325,127190,-27.0,37.0
2021-06-18,416,3096,92072,-6536,1147,127225,-28.0,35.0
2021-06-19,394,2898,89150,-2922,1197,127253,-22.0,28.0
2021-06-20,389,2833,87710,-1440,881,127270,-5.0,17.0
2021-06-21,385,2775,76853,-10857,495,127291,-4.0,21.0
2021-06-22,362,2651,72964,-3889,835,127322,-23.0,31.0
2021-06-23,344,2484,68619,-4345,951,127334,-18.0,12.0
2021-06-24,328,2355,62309,-6310,927,127362,-16.0,28.0
2021-06-25,306,2205,60235,-2074,753,127418,-22.0,56.0
2021-06-26,298,2069,57732,-2503,838,127458,-8.0,40.0
2021-06-27,294,2037,57162,-570,782,127472,-4.0,14.0
2021-06-28,289,2012,54682,-2480,389,127500,-5.0,28.0
2021-06-29,270,1946,52824,-1858,679,127542,-19.0,42.0
2021-06-30,247,1840,50441,-2383,776,127566,-23.0,24.0
2021-07-01,229,1761,49358,-1083,882,127587,-18.0,21.0
2021-07-02,213,1682,47779,-1579,794,127615,-16.0,28.0
2021-07-03,204,1598,45576,-2203,932,127637,-9.0,22.0
2021-07-04,197,1561,44664,-912,808,127649,-7.0,12.0
2021-07-05,191,1528,43531,-1133,480,127680,-6.0,31.0
2021-07-06,187,1458,42579,-952,907,127704,-4.0,24.0
2021-07-07,180,1414,41840,-739,1010,127718,-7.0,14.0
2021-07-08,180,1377,41469,-371,1394,127731,0.0,13.0
2021-07-09,169,1336,41396,-73,1390,127756,-11.0,25.0
2021-07-10,161,1308,41015,-381,1400,127768,-8.0,12.0
2021-07-11,161,1295,41081,66,1391,127775,0.0,7.0
2021-07-12,158,1307,40426,-655,888,127788,-3.0,13.0
2021-07-13,157,1285,40649,223,1534,127808,-1.0,20.0
2021-07-14,151,1259,41700,1051,2153,127831,-6.0,23.0
2021-07-15,153,1242,40900,-800,2455,127840,2.0,9.0
2021-07-16,161,1249,42714,1814,2898,127851,8.0,11.0
2021-07-17,162,1273,43491,777,3121,127864,1.0,13.0
2021-07-18,156,1292,46113,2622,3127,127867,-6.0,3.0
2021-07-19,162,1350,47525,1412,2072,127874,6.0,7.0
2021-07-20,165,1359,49310,1785,3558,127884,3.0,10.0
2021-07-21,158,1354,51308,1998,4259,127905,-7.0,21.0
2021-07-22,158,1392,54866,3558,5057,127920,0.0,15.0
2021-07-23,155,1459,58752,3886,5143,127937,-3.0,17.0
2021-07-24,172,1512,62523,3771,5140,127942,17.0,5.0
2021-07-25,178,1570,66257,3734,4743,127949,6.0,7.0
2021-07-26,182,1694,68236,1979,3117,127971,4.0,22.0
2021-07-27,189,1800,70310,2074,4522,127995,7.0,24.0
2021-07-28,183,1868,74161,3851,5696,128010,-6.0,15.0
2021-07-29,194,1924,78484,4323,6171,128029,11.0,19.0
2021-07-30,201,2013,82962,4478,6619,128047,7.0,18.0
2021-07-31,214,2065,87285,4323,6513,128063,13.0,16.0
2021-08-01,230,2184,91350,4065,5321,128065,16.0,2.0
2021-08-02,249,2319,93017,1667,3190,128088,19.0,23.0
2021-08-03,258,2454,94216,1199,4845,128115,9.0,27.0
2021-08-04,260,2569,97220,3004,6596,128136,2.0,21.0
2021-08-05,268,2677,101046,3826,7230,128163,8.0,27.0
2021-08-06,277,2726,104685,3639,6599,128187,9.0,24.0
2021-08-07,288,2821,108535,3850,6902,128209,11.0,22.0
2021-08-08,299,2930,112266,3731,5735,128220,11.0,11.0
2021-08-09,323,3109,114855,2589,4200,128242,24.0,22.0
2021-08-10,322,3202,116323,1468,5636,128273,-1.0,31.0
2021-08-11,337,3285,118761,2438,6968,128304,15.0,31.0
2021-08-12,352,3327,121285,2524,7270,128334,15.0,30.0
2021-08-13,369,3402,124250,2965,7409,128379,17.0,45.0
2021-08-14,372,3473,126466,2216,7188,128413,3.0,34.0
2021-08-15,384,3546,128528,2062,5664,128432,12.0,19.0
2021-08-16,404,3738,128696,168,3674,128456,20.0,24.0
2021-08-17,423,3895,129116,420,5273,128510,19.0,54.0
2021-08-18,442,4001,128782,-334,7162,128579,19.0,69.0
2021-08-19,460,4087,130502,1720,7260,128634,18.0,55.0
2021-08-20,455,4147,131462,960,7224,128683,-5.0,49.0
2021-08-21,466,4199,133421,1959,7470,128728,11.0,45.0
2021-08-22,472,4239,134938,1517,5923,128751,6.0,23.0
2021-08-23,485,4413,135555,617,4168,128795,13.0,44.0
2021-08-24,504,4540,135325,-230,6076,128855,19.0,60.0
2021-08-25,499,4522,135724,399,7548,128914,-5.0,59.0
2021-08-26,503,4562,137057,1333,7221,128957,4.0,43.0
2021-08-27,511,4625,138118,1061,7826,129002,8.0,45.0
2021-08-28,511,4622,139428,1310,6860,129056,0.0,54.0
2021-08-29,525,4658,141047,1619,5959,129093,14.0,37.0
2021-08-30,548,4812,141393,346,4257,129146,23.0,53.0
2021-08-31,544,4796,137925,-3468,5498,129221,-4.0,75.0
2021-09-01,540,4771,136578,-1347,6503,129290,-4.0,69.0
2021-09-02,555,4760,136898,320,6761,129352,15.0,62.0
2021-09-03,556,4720,137025,127,6735,129410,1.0,58.0
2021-09-04,569,4773,137039,14,6157,129466,13.0,56.0
2021-09-05,572,4788,136702,-337,5315,129515,3.0,49.0
2021-09-06,570,4872,136020,-682,3361,129567,-2.0,52.0
2021-09-07,563,4870,133787,-2233,4720,129638,-7.0,71.0
2021-09-08,564,4799,131581,-2206,5923,129707,1.0,69.0
2021-09-09,558,4788,129918,-1663,5522,129766,-6.0,59.0
2021-09-10,548,4712,128489,-1429,5621,129828,-10.0,62.0
2021-09-11,547,4664,127626,-863,5193,129885,-1.0,57.0
2021-09-12,559,4672,127334,-292,4664,129919,12.0,34.0
2021-09-13,563,4763,125904,-1430,2800,129955,4.0,36.0
2021-09-14,554,4719,122340,-3564,4021,130027,-9.0,72.0
2021-09-15,540,4668,118487,-3853,4830,130100,-14.0,73.0
2021-09-16,531,4549,116342,-2145,5117,130167,-9.0,67.0
2021-09-17,525,4514,114271,-2071,4552,130233,-6.0,66.0
2021-09-18,519,4477,113040,-1231,4578,130284,-6.0,51.0
2021-09-19,530,4459,113536,496,3838,130310,11.0,26.0
2021-09-20,523,4505,112514,-1022,2407,130354,-7.0,44.0
2021-09-21,516,4453,109513,-3001,3377,130421,-7.0,67.0
2021-09-22,513,4309,106559,-2954,3970,130488,-3.0,67.0
2021-09-23,505,4155,105083,-1476,4061,130551,-8.0,63.0
2021-09-24,489,4042,103556,-1527,3797,130603,-16.0,52.0
2021-09-25,481,3978,102574,-982,3525,130653,-8.0,50.0
2021-09-26,483,3918,102244,-330,3099,130697,2.0,44.0
2021-09-27,488,3975,101080,-1164,1772,130742,5.0,45.0
2021-09-28,459,3877,98872,-2208,2985,130807,-29.0,65.0
2021-09-29,450,3767,95979,-2893,3212,130870,-9.0,63.0
2021-09-30,440,3638,94308,-1671,3804,130921,-10.0,51.0
2021-10-01,429,3547,93652,-656,3405,130973,-11.0,52.0
2021-10-02,432,3489,92749,-903,3312,130998,3.0,25.0
2021-10-03,431,3422,92967,218,2968,131031,-1.0,33.0
2021-10-04,437,3469,92096,-871,1612,131068,6.0,37.0
2021-10-05,433,3401,90299,-1797,2466,131118,-4.0,50.0
2021-10-06,415,3287,88247,-2052,3235,131157,-18.0,39.0
2021-10-07,403,3227,87173,-1074,2938,131198,-12.0,41.0
2021-10-08,383,3125,85926,-1247,3023,131228,-20.0,30.0
2021-10-09,367,3059,85302,-624,2748,131274,-16.0,46.0
2021-10-10,364,3015,84808,-494,2278,131301,-3.0,27.0
2021-10-11,374,3062,84106,-702,1516,131335,10.0,34.0
2021-10-12,370,3035,82546,-1560,2494,131384,-4.0,49.0
2021-10-13,367,2919,80451,-2095,2772,131421,-3.0,37.0
2021-10-14,359,2838,79368,-1083,2668,131461,-8.0,40.0
2021-10-15,357,2802,78522,-846,2732,131503,-2.0,42.0
2021-10-16,352,2723,78071,-451,2983,131517,-5.0,14.0
2021-10-17,349,2735,77569,-502,2437,131541,-3.0,24.0
2021-10-18,358,2786,76363,-1206,1597,131585,9.0,44.0
2021-10-19,355,2778,74546,-1817,2697,131655,-3.0,70.0
2021-10-20,355,2819,73668,-878,3702,131688,0.0,33.0
2021-10-21,356,2795,73750,82,3794,131724,1.0,36.0
2021-10-22,343,2786,73729,-21,3882,131763,-13.0,39.0
2021-10-23,338,2793,74016,287,3908,131802,-5.0,39.0
2021-10-24,341,2814,74775,759,3725,131826,3.0,24.0
2021-10-25,338,2917,74654,-121,2535,131856,-3.0,30.0
2021-10-26,341,2945,75046,392,4054,131904,3.0,48.0
2021-10-27,341,2956,75365,319,4598,131954,0.0,50.0
2021-10-28,347,2956,76778,1413,4866,132004,6.0,50.0
2021-10-29,349,3007,78644,1866,5335,132037,2.0,33.0
2021-10-30,346,3053,80381,1737,4878,132074,-3.0,37.0
2021-10-31,342,3096,82448,2067,4526,132100,-4.0,26.0
2021-11-01,364,3227,83722,1274,2818,132120,22.0,20.0
2021-11-02,385,3377,84447,725,2834,132161,21.0,41.0
2021-11-03,381,3410,85287,840,5188,132224,-4.0,63.0
2021-11-04,383,3428,87376,2089,5905,132283,2.0,59.0
2021-11-05,395,3519,90356,2980,6764,132334,12.0,51.0
2021-11-06,392,3565,93693,3337,6764,132365,-3.0,31.0
2021-11-07,398,3613,96987,3294,5822,132385,6.0,20.0
2021-11-08,415,3777,98775,1788,4197,132423,17.0,38.0
2021-11-09,421,3857,100205,1430,6032,132491,6.0,68.0
2021-11-10,423,3870,102859,2654,7891,132551,2.0,60.0
2021-11-11,422,3931,106920,4061,8569,132618,-1.0,67.0
2021-11-12,445,3970,110659,3739,8516,132686,23.0,68.0
2021-11-13,453,4050,115112,4453,8544,132739,8.0,53.0
2021-11-14,458,4105,119230,4118,7569,132775,5.0,36.0
2021-11-15,475,4283,120875,1645,5144,132819,17.0,44.0
2021-11-16,481,4451,123396,2521,7698,132893,6.0,74.0
2021-11-17,486,4546,127085,3689,10172,132965,5.0,72.0
2021-11-18,503,4591,132513,5428,10638,133034,17.0,69.0
2021-11-19,512,4657,137130,4617,10544,133082,9.0,48.0
2021-11-20,512,4762,143401,6271,11555,133131,0.0,49.0
2021-11-21,520,4865,148760,5359,9709,133177,8.0,46.0
2021-11-22,549,5056,151514,2754,6404,133247,29.0,70.0
2021-11-23,560,5157,154510,2996,10047,133330,11.0,83.0
2021-11-24,573,5202,159317,4807,12448,133415,13.0,85.0
2021-11-25,588,5277,166598,7281,13764,133486,15.0,71.0
2021-11-26,606,5354,172618,6020,13686,133537,18.0,51.0
2021-11-27,624,5450,178946,6328,12877,133627,18.0,90.0
2021-11-28,638,5602,186443,7497,12932,133674,14.0,47.0
2021-11-29,669,5804,189643,3200,7975,133739,31.0,65.0
2021-11-30,683,5910,194270,4627,12764,133828,14.0,89.0
2021-12-01,686,5934,199783,5513,15085,133931,3.0,103.0
2021-12-02,698,5996,208871,9088,16806,134003,12.0,72.0
2021-12-03,708,6093,216154,7283,17030,134077,10.0,74.0
2021-12-04,732,6160,223718,7564,16632,134152,24.0,75.0
2021-12-05,736,6333,232000,8282,15021,134195,4.0,43.0
2021-12-06,743,6622,235835,3835,9503,134287,7.0,92.0
2021-12-07,776,6854,240894,5059,15756,134386,33.0,99.0
2021-12-08,791,6890,249214,8320,17959,134472,15.0,86.0
2021-12-09,811,7144,254553,5339,12527,134551,20.0,79.0
2021-12-10,816,7299,263148,8595,20497,134669,5.0,118.0
2021-12-11,818,7357,273882,10734,21042,134765,2.0,96.0
2021-12-12,829,7526,284877,10995,19215,134831,11.0,66.0
2021-12-13,856,7807,290757,5880,12712,134929,27.0,98.0
2021-12-14,863,8026,297394,6637,20677,135049,7.0,120.0
2021-12-15,870,8179,305653,8259,23195,135178,7.0,129.0
2021-12-16,917,8255,317930,12277,26109,135301,47.0,123.0
2021-12-17,923,8443,331968,14038,28632,135421,6.0,120.0
2021-12-18,953,8529,347472,15504,28064,135544,30.0,123.0
2021-12-19,966,8692,362275,14803,24259,135641,13.0,97.0
2021-12-20,987,9088,369703,7428,16213,135778,21.0,137.0
2021-12-21,1012,9393,384144,14441,30798,135931,25.0,153.0
2021-12-22,1010,9554,402729,18585,36293,136077,-2.0,146.0
2021-12-23,1023,9745,430029,27300,44595,136245,13.0,168.0
2021-12-24,1038,9850,460674,30645,50599,136386,15.0,141.0
2021-12-25,1071,9963,500466,39792,54762,136530,33.0,144.0
2021-12-26,1089,10309,516839,16373,24883,136611,18.0,81.0
2021-12-27,1126,10849,537504,20665,30810,136753,37.0,142.0
2021-12-28,1145,11234,598868,61364,78313,136943,19.0,190.0
2021-12-29,1185,11763,674865,75997,98030,137091,40.0,148.0
2021-12-30,1226,12092,779463,104598,126888,137247,41.0,156.0
2021-12-31,1260,12410,900984,121521,144243,137402,34.0,155.0
2022-01-01,1297,12562,1021793,120809,141358,137513,37.0,111.0
2022-01-02,1319,13075,1070537,48744,61046,137646,22.0,133.0
2022-01-03,1351,13684,1125052,54515,68052,137786,32.0,140.0
2022-01-04,1392,14304,1265297,140245,170844,138045,41.0,259.0
2022-01-05,1428,14792,1421117,155820,189109,138276,36.0,231.0
2022-01-06,1467,15294,1593579,172462,219441,138474,39.0,198.0
2022-01-07,1499,16090,1674071,80492,108304,138697,32.0,223.0
2022-01-08,1557,16487,1818893,144822,197552,138881,58.0,184.0
2022-01-09,1595,17242,1943979,125086,155659,139038,38.0,157.0
2022-01-10,1606,17946,2004597,60618,101762,139265,11.0,227.0
2022-01-11,1677,18744,2134139,129542,220532,139559,71.0,294.0
2022-01-12,1669,18978,2222060,87921,196224,139872,-8.0,313.0
2022-01-13,1668,19316,2323518,101458,184615,140188,-1.0,316.0
2022-01-14,1679,19698,2398828,75310,186253,140548,11.0,360.0
2022-01-15,1677,20047,2470847,72019,180426,140856,-2.0,308.0
2022-01-16,1691,20410,2548857,78010,149512,141104,14.0,248.0
2022-01-17,1717,20945,2555278,6421,83403,141391,26.0,287.0
2022-01-18,1715,21163,2562156,6878,212004,141825,-2.0,434.0
2022-01-19,1688,21188,2626590,64434,192320,142205,-27.0,380.0
2022-01-20,1698,21357,2682041,55451,188797,142590,10.0,385.0
2022-01-21,1707,21192,2695703,13662,179106,142963,9.0,373.0
2022-01-22,1676,21118,2723949,28246,171263,143296,-31.0,333.0
2022-01-23,1685,21312,2734906,10957,138860,143523,9.0,227.0
2022-01-24,1685,21547,2709857,-25049,77696,143875,0.0,352.0
2022-01-25,1691,21728,2689262,-20595,190514,144344,6.0,469.0
2022-01-26,1665,21666,2716581,27319,167206,144770,-26.0,426.0
2022-01-27,1645,21498,2706453,-10128,155697,145159,-20.0,389.0
2022-01-28,1630,21426,2668828,-37625,143898,145537,-15.0,378.0
2022-01-29,1588,21224,2664648,-4180,137147,145914,-42.0,377.0
2022-01-30,1593,21210,2643817,-20831,104065,146149,5.0,235.0
2022-01-31,1584,21497,2592606,-51211,57715,146498,-9.0,349.0
2022-02-01,1549,21422,2476514,-116092,133142,146925,-35.0,427.0
2022-02-02,1524,21074,2407626,-68888,118994,147320,-25.0,395.0
2022-02-03,1457,20781,2328230,-79396,112691,147734,-67.0,414.0
2022-02-04,1440,20440,2218344,-109886,99522,148167,-17.0,433.0
2022-02-05,1411,20026,2128543,-89801,93157,148542,-29.0,375.0
2022-02-06,1431,19929,2073248,-55295,78952,148771,20.0,229.0
2022-02-07,1423,20098,1990701,-82547,41247,149097,-8.0,326.0
2022-02-08,1376,19713,1927800,-62901,101864,149512,-47.0,415.0
2022-02-09,1350,19282,1874625,-53175,81367,149896,-26.0,384.0
2022-02-10,1322,18676,1813274,-61351,75861,150221,-28.0,325.0
2022-02-11,1265,18089,1751125,-62149,67152,150555,-57.0,334.0
2022-02-12,1223,17533,1695614,-55511,62231,150824,-42.0,269.0
2022-02-13,1190,17250,1638673,-56941,51959,151015,-33.0,191.0
2022-02-14,1173,17223,1590615,-48058,28630,151296,-17.0,281.0
2022-02-15,1119,16721,1550410,-40205,70852,151684,-54.0,388.0
2022-02-16,1073,16200,1480113,-70297,59749,151962,-46.0,278.0
2022-02-17,1037,15599,1438208,-41905,57890,152282,-36.0,320.0
2022-02-18,987,14935,1404122,-34086,53662,152596,-50.0,314.0
2022-02-19,953,14340,1369778,-34344,50534,152848,-34.0,252.0
2022-02-20,934,14218,1348347,-21431,42081,152989,-19.0,141.0
2022-02-21,928,14303,1321971,-26376,24408,153190,-6.0,201.0
2022-02-22,896,13972,1291793,-30178,60029,153512,-32.0,322.0
2022-02-23,886,13413,1221423,-70370,49040,153764,-10.0,252.0
2022-02-24,839,12964,1199228,-22195,46169,154013,-47.0,249.0
2022-02-25,799,12505,1175924,-23304,40948,154206,-40.0,193.0
2022-02-26,763,11866,1140558,-35366,38375,154416,-36.0,210.0
2022-02-27,733,11601,1122278,-18280,30629,154560,-30.0,144.0
2022-02-28,714,11565,1099934,-22344,17981,154767,-19.0,207.0
2022-03-01,708,11164,1073230,-26704,46631,155000,-6.0,233.0
2022-03-02,681,10635,1061610,-11620,36429,155214,-27.0,214.0
2022-03-03,654,10253,1041462,-20148,41500,155399,-27.0,185.0
2022-03-04,625,9922,1023787,-17675,38095,155609,-29.0,210.0
2022-03-05,609,9583,1018831,-4956,39963,155782,-16.0,173.0
2022-03-06,603,9431,1016341,-2490,35057,155887,-6.0,105.0
2022-03-07,610,9599,1008360,-7981,22083,156017,7.0,130.0
2022-03-08,592,9368,1011521,3161,60191,156201,-18.0,184.0
2022-03-09,563,9138,1001922,-9599,48483,156357,-29.0,156.0
2022-03-10,545,8959,971155,-30767,54230,156493,-18.0,136.0
2022-03-11,527,8801,976479,5324,53127,156649,-18.0,156.0
2022-03-12,513,8747,985622,9143,53825,156782,-14.0,133.0
2022-03-13,516,8756,999504,13882,48886,156868,3.0,86.0
2022-03-14,518,8986,1003239,3735,28900,156997,2.0,129.0
2022-03-15,502,8975,1036124,32885,85288,157177,-16.0,180.0
2022-03-16,477,8887,1054167,18043,72568,157314,-25.0,137.0
2022-03-17,473,8870,1088217,34050,79895,157442,-4.0,128.0
2022-03-18,474,8877,1120221,32004,76250,157607,1.0,165.0
2022-03-19,471,8790,1147519,27298,74024,157692,-3.0,85.0
2022-03-20,467,8897,1172824,25305,60415,157785,-4.0,93.0
2022-03-21,463,9191,1175280,2456,32573,157904,-4.0,119.0
2022-03-22,455,9424,1200607,25327,96365,158101,-8.0,197.0
2022-03-23,466,9405,1226890,26283,76260,158254,11.0,153.0
2022-03-24,447,9476,1245803,18913,81811,158436,-19.0,182.0
2022-03-25,447,9441,1246281,478,75616,158582,0.0,146.0
2022-03-26,452,9475,1254383,8102,73357,158700,5.0,118.0
2022-03-27,464,9645,1262891,8508,59555,158782,12.0,82.0
2022-03-28,487,9983,1254056,-8835,30710,158877,23.0,95.0
2022-03-29,487,10227,1266878,12822,99457,159054,0.0,177.0
2022-03-30,481,10352,1282816,15938,77621,159224,-6.0,170.0
2022-03-31,468,10366,1277044,-5772,73195,159383,-13.0,159.0
2022-04-01,476,10457,1271487,-5557,74350,159537,8.0,154.0
2022-04-02,493,10442,1277611,6124,70803,159666,17.0,129.0
2022-04-03,489,10506,1284016,6405,53588,159784,-4.0,118.0
2022-04-04,483,10724,1274305,-9711,30630,159909,-6.0,125.0
2022-04-05,471,10717,1274388,83,88173,160103,-12.0,194.0
2022-04-06,466,10630,1273857,-531,69278,160252,-5.0,149.0
2022-04-07,471,10549,1253056,-20801,69596,160402,5.0,150.0
2022-04-08,462,10564,1249607,-3449,66535,160546,-9.0,144.0
2022-04-09,462,10485,1237865,-11742,63992,160658,0.0,112.0
2022-04-10,465,10503,1246556,8691,51376,160748,3.0,90.0
2022-04-11,466,10722,1232762,-13794,28368,160863,1.0,115.0
2022-04-12,463,10670,1228745,-4017,83643,161032,-3.0,169.0
2022-04-13,449,10615,1227858,-887,62037,161187,-14.0,155.0
2022-04-14,420,10495,1227662,-196,64951,161336,-29.0,149.0
2022-04-15,419,10399,1218924,-8738,61555,161469,-1.0,133.0
2022-04-16,411,10289,1221338,2414,63815,161602,-8.0,133.0
2022-04-17,403,10161,1226038,4700,51993,161687,-8.0,85.0
2022-04-18,411,10351,1216843,-9195,18380,161766,8.0,79.0
2022-04-19,422,10636,1208279,-8564,27214,161893,11.0,127.0
2022-04-20,413,10620,1206900,-1379,99848,162098,-9.0,205.0
2022-04-21,415,10646,1222813,15913,75020,162264,2.0,166.0
2022-04-22,411,10487,1223122,309,73212,162466,-4.0,202.0
2022-04-23,409,10323,1232229,9107,70520,162609,-2.0,143.0
2022-04-24,416,10311,1244149,11920,56263,162688,7.0,79.0
2022-04-25,416,10466,1242600,-1549,24878,162781,0.0,93.0
2022-04-26,409,10737,1234976,-7624,29575,162927,-7.0,146.0
2022-04-27,394,10549,1234676,-300,87940,163113,-15.0,186.0
2022-04-28,382,10458,1248806,14130,69204,163244,-12.0,131.0
2022-04-29,371,10313,1247117,-1689,58861,163377,-11.0,133.0
2022-04-30,366,10192,1229379,-17738,53602,163507,-5.0,130.0
